Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles attempted,Tackles won,Tackles in defensive third,Tackles in middle third,Tackles in attacking third,Dribblers tackled,Dribblers confronted,Percentage of dribblers tackled,Dribbled past,Pressures,Pressure successes,Pressure success rate,Pressures in defensive third,Pressures in middle third,Pressures in attacking third,Blocks,Shots blocked,Shots on target blocked,Passes blocked,Interceptions,Tackles plus interceptions,Clearances,Errors
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,2.16,1.16,1.56,0.59,0,1.16,1.81,63.8,0.66,13.6,3.53,26,7.97,4.38,1.22,2.69,0.69,0.03,2,1.75,3.91,2.16,0
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,1.87,1.39,1.24,0.6,0.03,0.39,0.82,48.1,0.42,13.6,4.89,35.9,7.61,5.14,0.88,1.87,0.79,0.06,1.09,3.11,4.98,3.2,0
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,2.01,1.24,0.91,0.91,0.18,0.69,2.15,32.2,1.46,23.4,6.53,27.9,7.19,12.3,3.94,0.99,0.04,0,0.95,1.86,3.87,0.55,0
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,3.57,2.23,1.49,1.71,0.37,1.8,4.97,36.2,3.17,28,7.9,28.2,9.27,15.3,3.41,1.68,0.09,0,1.59,2.56,6.13,0.34,0
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,0,0,0,2,0,2,28,2,7.1,0,22,6,2,0,0,2,0,0,0,0
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,1.73,0.86,0.37,0.86,0.49,0.25,1.36,18.2,1.11,23.5,4.81,20.5,2.59,10,10.9,1.23,0.37,0,0.86,0.99,2.72,0.86,0
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,0,0,0,0.91,0,0.91,23.6,3.64,15.4,3.64,12.7,7.27,1.82,0,0,1.82,0.91,0.91,0.91,0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,0.99,0.64,0.29,0.44,0.26,0.29,0.67,43.5,0.38,13.6,4.02,29.6,1.34,5.71,6.56,0.96,0.32,0,0.64,0.44,1.43,0.9,0
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,1.13,0.97,0.81,0.16,0.16,0.48,0.65,75,0.16,5.65,2.1,37.1,2.26,3.23,0.16,2.1,0.81,0.32,1.29,1.77,2.9,6.29,0.16
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,0.96,0.43,0.64,0.32,0,0.32,0.71,45,0.39,5.85,1.7,29.1,3.05,2.41,0.39,1.7,1.06,0,0.64,1.7,2.66,4.08,0.04
