Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Yellow cards,Red Cards,Second yellow cards,Fouls committed,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalty kicks won,Penalty kicks conceded,Own goals,Recoveries,Aerial Duels Won,Aerial Duels Lost,Percentage of aerial duels won
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,0.25,0,0,0.97,1.84,0.03,1.41,1.75,1.16,0,0.06,0.03,5.53,0.47,1.59,22.7
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,0.15,0.03,0,1.3,0.73,0,0.06,3.11,1.39,0,0.03,0,6.77,2.02,1.36,59.8
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,0.44,0.11,0.07,1.64,1.28,0,0.36,1.86,1.24,0,0,0,8.76,0.88,0.88,50
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,0.27,0,0,1.4,2.07,0.03,0.79,2.56,2.23,0,0,0,8.87,0.43,0.43,50
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,2,0,0,2,0,0,0,0,0,4,2,0,100
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,0.37,0,0,2.22,1.48,1.85,0.25,0.99,0.86,0,0,0,4.81,2.72,4.94,35.5
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,1.82,0.91,0,0.91,0.91,0,0,0,0,6.36,0,1.82,0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,0.26,0,0,1.25,1.46,0.5,0.7,0.44,0.64,0.03,0.03,0,3.67,2.39,2.89,45.3
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,0.32,0,0,0.81,0.81,0,0,1.77,0.97,0,0,0.16,4.03,1.94,2.42,44.4
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,0.07,0.04,0,0.71,0.67,0.14,0.04,1.7,0.43,0.04,0,0,10.7,2.84,1.6,64
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,0,0,0,2.07,2.76,2.07,2.07,0,0.69,0,0,0,5.17,6.9,3.79,64.5
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,0.4,0,0,1.63,2.15,0,4.94,1.24,1.55,0,0.04,0,8.88,1.31,1.47,47.1
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,0,0,0,1.37,2.07,0.31,0.48,0.44,0.4,0,0,0,5.29,2.47,4.89,33.5
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,0.33,0,0,1.33,1.2,0,0.2,1.53,1.07,0,0,0,10.6,1.53,0.8,65.7
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,0,0,0,1.62,2.43,1.08,1.62,0.81,2.16,0,0,0,7.03,1.35,3.51,27.8
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,0.26,0,0,4.1,0.51,0,0.51,3.59,3.08,0,0,0,10.3,0.51,2.05,20
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14,0.21,0,0,1.93,2.29,0.57,1.86,1.21,1.79,0,0,0,6.57,1.36,2.5,35.2
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,0.2,0,0,1.08,1.31,0.16,1.55,2.15,1.35,0,0,0,6.41,0.96,0.8,54.5
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,0.2,0,0,2.86,0.82,0,0.41,1.02,1.63,0,0,0,6.73,1.22,1.63,42.9
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,0.68,0.14,0.14,2.03,3.51,0.54,1.08,0.68,0.54,0,0,0,6.22,1.22,2.43,33.3
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18,0.22,0,0,1.67,1.5,0.06,2.17,1.33,1.28,0,0.06,0,8.39,1.89,2.17,46.6
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,0.29,0,0,1.68,0.91,0,0.19,2.69,2.02,0,0.05,0,9.9,1.49,1.49,50
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,0.15,0.07,0,2.85,1.9,0,0.95,1.31,1.97,0,0,0,7.23,1.17,1.46,44.4
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,0.1,0.03,0,0.59,0.53,0.03,0.07,1.78,0.39,0.03,0.07,0,7.63,3.55,1.51,70.1
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,0,0,0,0.59,1.18,0.59,2.35,0,0.59,0,0,0,1.76,2.35,1.18,66.7
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,0.17,0,0,1.34,1.26,0.04,2.18,2.48,2.14,0,0,0.04,9.92,1.64,1.68,49.4
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,
30,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.7,0,0,0,2.86,1.43,0,0,0,0,0,0,0,4.29,1.43,4.29,25
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,0.4,0,0,1.4,0.73,0,0.47,2.27,1.47,0,0,0,10.4,1.67,0.67,71.4
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,0.18,0,0,2.05,1.7,0,0.36,2.05,0.89,0,0,0,10.4,1.25,0.71,63.6
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,0.03,0,0,0.38,0.65,0.03,0.07,1.88,1.4,0,0,0.03,9.59,2.63,1.74,60.2
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16,0.25,0,0,1.25,1.94,0.06,1.88,2.06,0.94,0,0,0,7.88,1.13,1.44,43.9
35,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,20,2001,20.3,0.2,0,0,0.99,1.13,0.15,2.76,1.87,2.12,0.05,0,0,6.65,0.99,0.94,51.3
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,0.23,0,0,0.81,0.86,0,0.54,2.21,0.99,0,0,0,8.38,2.84,1.71,62.4
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,0.16,0.03,0,1.32,1.22,0.46,0.59,0.49,0.82,0.07,0,0.03,3.75,5.07,3.95,56.2
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,0.12,0,0,0.92,1.04,0.04,0.08,1.87,1.43,0,0,0.04,9.56,2.55,1.55,62.1
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,0.2,0,0,1.27,1.37,0.1,1.56,3.17,1.66,0,0.05,0,9.76,2.1,1.76,54.4
40,Marley Aké,fr FRA,MFFW,Juventus,it Serie A,20,2001,0.9,1.11,0,0,8.89,2.22,0,1.11,2.22,0,0,0,0,4.44,1.11,0,100
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,0,0,0,0.78,0.49,0,0,1.75,0.49,0,0,0,7.57,3.98,0.78,83.7
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,0,0,0,2.86,3.57,0,3.57,0,0,0,0,0,7.14,0,1.43,0
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,1.67,0,0,5,1.67,1.67,0,0,1.67,0,0,0,6.67,1.67,3.33,33.3
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,0.35,0.18,0,2.46,0.53,0,0,2.11,2.11,0,0,0,9.65,1.58,0.18,90
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,0.29,0,0,4,2.86,0,0,0.86,2.57,0,0.29,0,6.86,2,2,50
46,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26,1995,17,0.29,0,0,1.76,1.41,0.24,1.71,2.06,1.18,0,0.06,0,8.47,1.35,1.29,51.1
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,0.07,0,0,0.61,0.44,0.07,1.09,1.39,0.61,0,0,0,6.43,0.78,0.78,50
48,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,0.56,0,0,2.78,4.44,0,0.56,3.33,3.33,0,0,0,8.89,0.56,0.56,50
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,0.32,0,0,1.65,0.63,0.06,1.46,1.71,0.95,0,0.13,0,10.2,1.39,1.39,50
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,0.27,0,0,1.1,1.51,0.96,0.41,0.41,0.55,0.14,0,0,3.42,2.74,4.79,36.4
