Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes attempted,live ball passes,dead ball passes,passes from free kicks,through balls,passes under pressure,switches,crosses,corner kicks,inswinging corner kicks,outswinging corner kicks,straight corner kicks,ground passes,low passes,high passes,passes attempted by left foot,passes attempted by right foot,passes attempted by head,throw-ins,passes attempted by other body parts,passes completed,offside passes,out of bound passes,intercepted passes,blocked passes
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,45,34.4,10.6,0.84,0.06,5.41,0.59,1.41,0,0,0,0,26.5,9.59,8.94,4.91,29,0.91,9.72,0.06,34,0.22,0.88,1.63,1.75
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,47,44,3.02,2.45,0,5.68,1.66,0.06,0,0,0,0,35.3,3.78,7.95,31.7,12.1,1.48,0.42,0.12,38.7,0.15,0.97,1.24,0.88
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,61,60.3,0.73,0.58,0.04,8.03,0.8,0.36,0,0,0,0,52.6,4.71,3.72,4.82,53.1,1.9,0.15,0.29,55.9,0.07,0.58,1.24,0.84
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,49.8,49,0.85,0.64,0.18,9.48,1.49,0.79,0.03,0,0,0,37.6,5.64,6.65,4.48,43.9,0.73,0.15,0.15,40.7,0.21,0.55,1.83,1.68
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,12,12,0,0,0,6,0,2,0,0,0,0,10,0,2,12,0,0,0,0,4,0,0,4,0
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,17.2,16,1.11,0.12,0.12,5.19,0.25,0.25,0,0,0,0,10.7,3.95,2.47,3.33,9.38,2.35,0,0.37,11.1,0.25,0.62,0.62,1.11
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,9.09,9.09,0,0,0,3.64,0,0.91,0,0,0,0,8.18,0.91,0,2.73,6.36,0,0,0,7.27,0,0,0.91,0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,20.2,18.3,1.98,0.17,0.15,5.92,0.32,0.7,0,0,0,0,12.8,4.37,3.03,1.84,14.1,1.92,0.03,0.7,14.6,0,0.29,1.02,0.7
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,35.5,34,1.45,0.81,0,1.61,1.13,0,0,0,0,0,28.2,2.42,4.84,29.2,3.55,1.77,0.32,0.16,31.3,0.16,0.16,0.32,0.16
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,71.1,68.6,2.52,2.2,0.07,5.96,2.66,0.04,0,0,0,0,52.8,5.6,12.7,54.1,12.2,2.77,0.04,0.28,64.3,0.04,0.78,0.85,0.43
