id,squad,player,position
1,Alavés,Fernando Pacheco,Goalkeeper
2,Alavés,Antonio Sivera,Goalkeeper
3,Alavés,Jesús Owono,Goalkeeper
4,Alavés,Adrián Rodríguez,Goalkeeper
5,Alavés,Óscar Medina,Goalkeeper
6,Alavés,Iván Sanz,Goalkeeper
7,Alavés,Matt Miazga,Centre-Back
8,Alavés,Víctor Laguardia,Centre-Back
9,Alavés,Florian Lejeune,Centre-Back
10,Alavés,Tachi,Centre-Back
11,Alavés,Abdel Abqar,Centre-Back
12,Alavés,Rubén Duarte,Left-Back
13,Alavés,Javi López,Left-Back
14,Alavés,Saúl García,Left-Back
15,Alavés,Nahuel Tenaglia,Right-Back
16,Alavés,Martín Aguirregabiria,Right-Back
17,Alavés,Ximo Navarro,Right-Back
18,Alavés,Alexandru Tirlea,Right-Back
19,Alavés,Mamadou Loum,Defensive Midfield
20,Alavés,Pere Pons,Defensive Midfield
21,Alavés,Antonio Perera,Defensive Midfield
22,Alavés,Gonzalo Escalante,Central Midfield
23,Alavés,Toni Moya,Central Midfield
24,Alavés,Tomás Pina,Central Midfield
25,Alavés,Álex Balboa,Central Midfield
26,Alavés,Tomás Mendes,Central Midfield
27,Alavés,Manu García,Attacking Midfield
28,Alavés,Iván Martín,Attacking Midfield
29,Alavés,Manu Vallejo,Left Winger
30,Alavés,Luis Rioja,Left Winger
31,Alavés,Facundo Pellistri,Right Winger
32,Alavés,Jason,Right Winger
33,Alavés,Edgar Méndez,Right Winger
34,Alavés,Unai Ropero,Right Winger
35,Alavés,Joselu,Centre-Forward
36,Alavés,Lucas Pérez,Centre-Forward
37,Alavés,Miguel de la Fuente,Centre-Forward
38,Alavés,Taichi Hara,Centre-Forward
39,Alavés,Mamadou Sylla,Centre-Forward
40,Alavés,John Guidetti,Centre-Forward
41,Alavés,Marc Tenas,Centre-Forward
42,Alavés,Giorgi Gagua,Centre-Forward
43,Alavés,Alan Godoy,Centre-Forward
44,Angers,Paul Bernardoni,Goalkeeper
45,Angers,Anthony Mandréa,Goalkeeper
46,Angers,Danijel Petkovic,Goalkeeper
47,Angers,Romain Thomas,Centre-Back
48,Angers,Vincent Manceau,Centre-Back
49,Angers,Ismaël Traoré,Centre-Back
50,Angers,Kévin Boma,Centre-Back
51,Angers,Daylam Meddah,Centre-Back
52,Angers,Souleyman Doumbia,Left-Back
53,Angers,Enzo Ebosse,Left-Back
54,Angers,Abdoulaye Bamba,Right-Back
55,Angers,Ali Kalla,Right-Back
56,Angers,Batista Mendy,Defensive Midfield
57,Angers,Zinédine Ould Khaled,Defensive Midfield
58,Angers,Nabil Bentaleb,Central Midfield
59,Angers,Azzedine Ounahi,Central Midfield
60,Angers,Antonin Bobichon,Central Midfield
61,Angers,Thomas Mangani,Central Midfield
62,Angers,Yassin Belkhdim,Central Midfield
63,Angers,Mattéo Corduan,Central Midfield
64,Angers,Jimmy Cabot,Right Midfield
65,Angers,Mathias Pereira Lage,Right Midfield
66,Angers,Pierrick Capelle,Left Midfield
67,Angers,Angelo Fulgini,Attacking Midfield
68,Angers,Waniss Taïbi,Attacking Midfield
69,Angers,Sofiane Boufal,Left Winger
70,Angers,Billal Brahimi,Left Winger
71,Angers,Casimir Ninga,Left Winger
72,Angers,Marin Jakolis,Left Winger
73,Angers,Farid El Melali,Left Winger
74,Angers,Jason Mbock,Left Winger
75,Angers,Sada Thioub,Right Winger
76,Angers,Noah Fatar,Right Winger
77,Angers,Momo Cho,Centre-Forward
78,Angers,Stéphane Bahoken,Centre-Forward
79,Angers,Rachid Alioui,Centre-Forward
80,Angers,Frank Magri,Centre-Forward
81,Angers,Guédé Nadje,Centre-Forward
82,Arminia,Stefan Ortega,Goalkeeper
83,Arminia,Stefanos Kapino,Goalkeeper
84,Arminia,Oscar Linnér,Goalkeeper
85,Arminia,Arne Schulz,Goalkeeper
86,Arminia,Amos Pieper,Centre-Back
87,Arminia,Joakim Nilsson,Centre-Back
88,Arminia,Guilherme Ramos,Centre-Back
89,Arminia,Andrés Andrade,Centre-Back
90,Arminia,Mike van der Hoorn,Centre-Back
91,Arminia,Nathan de Medina,Centre-Back
92,Arminia,Kenson Pierre Bauer,Centre-Back
93,Arminia,George Bello,Left-Back
94,Arminia,Lennart Czyborra,Left-Back
95,Arminia,Jacob Barrett Laursen,Left-Back
96,Arminia,Cédric Brunner,Right-Back
97,Arminia,Manuel Prietl,Defensive Midfield
98,Arminia,Fabian Kunze,Defensive Midfield
99,Arminia,Julian Frommann,Defensive Midfield
100,Arminia,Alessandro Schöpf,Central Midfield
101,Arminia,Edimilson Fernandes,Central Midfield
102,Arminia,Marcel Hartel,Central Midfield
103,Arminia,Sebastian Vasiliadis,Central Midfield
104,Arminia,Burak Ince,Central Midfield
105,Arminia,Gonzalo Castro,Central Midfield
106,Arminia,Masaya Okugawa,Attacking Midfield
107,Arminia,Vladislav Cherny,Attacking Midfield
108,Arminia,Cem-Ali Dogan,Attack
109,Arminia,Robin Hack,Left Winger
110,Arminia,Patrick Wimmer,Right Winger
111,Arminia,Bryan Lasme,Right Winger
112,Arminia,Christian Gebauer,Right Winger
113,Arminia,Florian Krüger,Centre-Forward
114,Arminia,Janni Serra,Centre-Forward
115,Arminia,Fabian Klos,Centre-Forward
116,Arsenal,Aaron Ramsdale,Goalkeeper
117,Arsenal,Bernd Leno,Goalkeeper
118,Arsenal,Arthur Okonkwo,Goalkeeper
