id,squad,player,rating
1,Alavés,Joselu,7.25
2,Alavés,Mamadou Loum,6.70
3,Alavés,Nahuel Tenaglia,6.68
4,Alavés,Gonzalo Escalante,6.67
5,Alavés,Rubén Duarte,6.65
6,Alavés,Matt Miazga,6.58
7,Alavés,Luis Rioja,6.56
8,Alavés,Florian Lejeune,6.50
9,Alavés,Víctor Laguardia,6.50
10,Alavés,Fernando Pacheco,6.49
11,Alavés,Antonio Sivera,6.48
12,Alavés,Manu García,6.45
13,Alavés,Alex Tirlea,6.42
14,Alavés,Martín Aguirregabiria,6.42
15,Alavés,Toni Moya,6.36
16,Alavés,Jason,6.36
17,Alavés,Jesús Owono,6.30
18,Alavés,Ximo Navarro,6.29
19,Alavés,Édgar Méndez,6.29
20,Alavés,Tomás Pina,6.24
21,Alavés,Tachi,6.20
22,Alavés,Miguel De la Fuente,6.19
23,Alavés,Facundo Pellistri,6.18
24,Alavés,Saul García,6.17
25,Alavés,Pere Pons,6.16
26,Alavés,Manu Vallejo,6.15
27,Alavés,John Guidetti,6.12
28,Alavés,Javi Lopez,6.12
29,Alavés,Mamadou Sylla,6.11
30,Alavés,Unai Ropero,6.08
31,Alavés,Tomás Mendes,6.04
32,Alavés,Iván Martín,5.99
33,Alavés,Marc Tenas,5.88
34,Angers,Sofiane Boufal,7.27
35,Angers,Jimmy Cabot,6.99
36,Angers,Anthony Mandréa,6.87
37,Angers,Angelo Fulgini,6.81
38,Angers,Romain Thomas,6.78
39,Angers,Nabil Bentaleb,6.76
40,Angers,Thomas Mangani,6.72
41,Angers,Souleyman Doumbia,6.61
42,Angers,Ismael Traoré,6.59
43,Angers,Paul Bernardoni,6.58
44,Angers,Mathias Pereira Lage,6.54
45,Angers,Batista Mendy,6.43
46,Angers,Azzedine Ounahi,6.43
47,Angers,Pierrick Capelle,6.39
48,Angers,Vincent Manceau,6.38
49,Angers,Billal Brahimi,6.37
50,Angers,Stéphane Bahoken,6.33
51,Angers,Momo Cho,6.33
52,Angers,Enzo Ebosse,6.29
53,Angers,Danijel Petkovic,6.26
54,Angers,Waniss Taibi,6.22
55,Angers,Abdoulaye Bamba,6.13
56,Angers,Marin Jakolis,6.11
57,Angers,Antonin Bobichon,6.04
58,Angers,Noah Fatar,6.03
59,Angers,Casimir Ninga,6.02
60,Angers,Sada Thioub,6.00
61,Angers,Farid El Melali,5.99
62,Angers,Guédé Nadje,5.98
63,Angers,Jason Mbock,5.88
64,Arminia,Stefanos Kapino,7.58
65,Arminia,Patrick Wimmer,6.92
66,Arminia,Amos Pieper,6.79
67,Arminia,Guilherme Ramos,6.77
68,Arminia,Cédric Brunner,6.77
69,Arminia,Joakim Nilsson,6.73
70,Arminia,Stefan Ortega,6.73
71,Arminia,Fabian Klos,6.57
72,Arminia,Alessandro Schöpf,6.54
73,Arminia,Andrés Andrade,6.53
74,Arminia,Masaya Okugawa,6.52
75,Arminia,Jacob Barrett,6.45
76,Arminia,Manuel Prietl,6.45
77,Arminia,Sebastian Vasiliadis,6.44
78,Arminia,Fabian Kunze,6.40
79,Arminia,Edimilson Fernandes,6.38
80,Arminia,Mike van der Hoorn,6.36
81,Arminia,Bryan Lasme,6.33
82,Arminia,Janni Serra,6.33
83,Arminia,Gonzalo Castro,6.27
84,Arminia,Robin Hack,6.21
85,Arminia,George Bello,6.20
86,Arminia,Florian Krüger,6.18
87,Arminia,Burak Ince,6.13
88,Arminia,Nathan De Medina,6.09
89,Arminia,Lennart Czyborra,5.89
90,Arsenal,Bukayo Saka,7.06
91,Arsenal,Thomas Partey,6.96
92,Arsenal,Martin Ødegaard,6.91
93,Arsenal,Gabriel Martinelli,6.86
94,Arsenal,Takehiro Tomiyasu,6.83
95,Arsenal,Ben White,6.78
96,Arsenal,Kieran Tierney,6.77
97,Arsenal,Gabriel Magalhães,6.74
98,Arsenal,Emile Smith Rowe,6.74
99,Arsenal,Pierre-Emerick Aubameyang,6.74
100,Arsenal,Alexandre Lacazette,6.74
101,Arsenal,Granit Xhaka,6.67
102,Arsenal,Pablo Marí,6.65
103,Arsenal,Aaron Ramsdale,6.65
104,Arsenal,Eddie Nketiah,6.60
105,Arsenal,Cédric Soares,6.53
106,Arsenal,Albert Sambi Lokonga,6.51
107,Arsenal,Rob Holding,6.48
108,Arsenal,Mohamed Elneny,6.46
109,Arsenal,Nicolas Pépé,6.44
110,Arsenal,Nuno Tavares,6.42
111,Arsenal,Bernd Leno,6.41
112,Arsenal,Ainsley Maitland-Niles,6.35
113,Arsenal,Calum Chambers,6.13
114,Arsenal,Reiss Nelson,6.04
115,Arsenal,Folarin Balogun,5.95
116,Arsenal,Sead Kolasinac,5.72
117,Aston Villa,John McGinn,7.17
118,Aston Villa,Philippe Coutinho,6.96
119,Aston Villa,Lucas Digne,6.94
120,Aston Villa,Matty Cash,6.91
121,Aston Villa,Ollie Watkins,6.90
122,Aston Villa,Calum Chambers,6.79
123,Aston Villa,Douglas Luiz,6.77
124,Aston Villa,Jacob Ramsey,6.77
125,Aston Villa,Emiliano Buendía,6.75
126,Aston Villa,Tyrone Mings,6.74
127,Aston Villa,Matt Targett,6.71
128,Aston Villa,Danny Ings,6.65
129,Aston Villa,Emiliano Martínez,6.63
130,Aston Villa,Kortney Hause,6.58
131,Aston Villa,Tim Iroegbunam,6.46
132,Aston Villa,Marvelous Nakamba,6.45
133,Aston Villa,Ezri Konsa,6.43
134,Aston Villa,Ashley Young,6.43
135,Aston Villa,Leon Bailey,6.40
136,Aston Villa,Morgan Sanson,6.34
137,Aston Villa,Anwar El Ghazi,6.33
138,Aston Villa,Bertrand Traoré,6.28
139,Aston Villa,Carney Chukwuemeka,6.20
140,Aston Villa,Axel Tuanzebe,6.18
141,Aston Villa,Robin Olsen,6.14
142,Aston Villa,Trézéguet,6.03
143,Aston Villa,Cameron Archer,6.02
144,Aston Villa,Wesley,6.00
145,Aston Villa,Jaden Philogene,5.95
146,Aston Villa,Keinan Davis,5.92
147,Aston Villa,Jed Steer,5.46
148,Atalanta,Luis Muriel,7.30
149,Atalanta,Duván Zapata,7.06
150,Atalanta,José Luis Palomino,7.00
151,Atalanta,Robin Gosens,6.92
152,Atalanta,Ruslan Malinovskyi,6.91
153,Atalanta,Mario Pasalic,6.86
154,Atalanta,Josip Ilicic,6.84
155,Atalanta,Teun Koopmeiners,6.82
156,Atalanta,Marten de Roon,6.78
157,Atalanta,Merih Demiral,6.75
158,Atalanta,Rafael Tolói,6.73
159,Atalanta,Remo Freuler,6.71
160,Atalanta,Davide Zappacosta,6.63
161,Atalanta,Matteo Pessina,6.62
162,Atalanta,Berat Djimsiti,6.60
163,Atalanta,Aleksey Miranchuk,6.59
164,Atalanta,Marco Sportiello,6.58
165,Atalanta,Juan Musso,6.58
166,Atalanta,Jérémie Boga,6.57
167,Atalanta,Giuseppe Pezzella,6.46
168,Atalanta,Matteo Lovato,6.46
169,Atalanta,Hans Hateboer,6.44
170,Atalanta,Joakim Maehle,6.43
171,Atalanta,Giorgio Scalvini,6.42
172,Atalanta,Francesco Rossi,6.38
173,Atalanta,Moustapha Cissé,6.38
174,Atalanta,Alasanne Sidibe,6.16
175,Atalanta,Roberto Piccoli,6.12
176,Atalanta,Giorgio Cittadini,6.12
177,Atalanta,Sam Lammers,6.10
178,Atalanta,Tommaso De Nipoti,6.08
179,Atalanta,Valentin Mihaila,6.03
180,Athletic Club,Iker Muniain,7.19
181,Athletic Club,Íñigo Martínez,6.94
182,Athletic Club,Yuri Berchiche,6.89
183,Athletic Club,Yeray Álvarez,6.82
184,Athletic Club,Julen Agirrezabala,6.81
185,Athletic Club,Dani Vivian,6.80
186,Athletic Club,Alex Berenguer,6.78
187,Athletic Club,Óscar De Marcos,6.76
188,Athletic Club,Iñaki Williams,6.71
189,Athletic Club,Oihan Sancet,6.68
190,Athletic Club,Unai Simón,6.60
191,Athletic Club,Íñigo Lekue,6.59
192,Athletic Club,Raúl García,6.56
193,Athletic Club,Mikel Balenziaga,6.55
194,Athletic Club,Unai Vencedor,6.48
195,Athletic Club,Dani García,6.43
196,Athletic Club,Nico Williams,6.36
197,Athletic Club,Mikel Vesga,6.32
198,Athletic Club,Asier Villalibre,6.27
199,Athletic Club,Unai Núñez,6.25
200,Athletic Club,Nicolás Serrano,6.23
201,Athletic Club,Oier Zarraga,6.23
202,Athletic Club,Alex Petxarroman,6.15
203,Athletic Club,Ander Capa,6.01
204,Athletic Club,Peru Nolaskoain,6.00
205,Athletic Club,Jon Morcillo,5.96
206,Atlético Madrid,Yannick Carrasco,7.08
207,Atlético Madrid,João Félix,6.91
208,Atlético Madrid,José Giménez,6.82
209,Atlético Madrid,Geoffrey Kondogbia,6.81
210,Atlético Madrid,Saúl Ñíguez,6.81
211,Atlético Madrid,Thomas Lemar,6.80
212,Atlético Madrid,Rodrigo de Paul,6.80
213,Atlético Madrid,Antoine Griezmann,6.80
214,Atlético Madrid,Stefan Savic,6.80
215,Atlético Madrid,Reinildo,6.77
216,Atlético Madrid,Marcos Llorente,6.67
217,Atlético Madrid,Ángel Correa,6.67
218,Atlético Madrid,Koke,6.66
219,Atlético Madrid,Kieran Trippier,6.57
220,Atlético Madrid,Luis Suárez,6.54
221,Atlético Madrid,Mario Hermoso,6.54
222,Atlético Madrid,Sime Vrsaljko,6.53
223,Atlético Madrid,Matheus Cunha,6.53
224,Atlético Madrid,Felipe,6.52
225,Atlético Madrid,Héctor Herrera,6.49
226,Atlético Madrid,Renan Lodi,6.47
227,Atlético Madrid,Jan Oblak,6.35
228,Atlético Madrid,Carlos Martín,6.30
229,Atlético Madrid,Daniel Wass,6.17
230,Atlético Madrid,Benjamin Lecomte,6.00
231,Atlético Madrid,Giuliano Simeone,6.00
232,Atlético Madrid,Javier Serrano,5.97
233,Augsburg,Reece Oxford,6.86
234,Augsburg,Daniel Caligiuri,6.81
235,Augsburg,Michael Gregoritsch,6.78
236,Augsburg,Iago,6.75
237,Augsburg,Niklas Dorsch,6.74
238,Augsburg,Jeffrey Gouweleeuw,6.70
239,Augsburg,André Hahn,6.61
240,Augsburg,Frederik Winther,6.59
241,Augsburg,Arne Maier,6.57
242,Augsburg,Rafal Gikiewicz,6.54
243,Augsburg,Alfred Finnbogason,6.48
244,Augsburg,Rubén Vargas,6.48
245,Augsburg,Florian Niederlechner,6.43
246,Augsburg,Mads Pedersen,6.40
247,Augsburg,Robert Gumny,6.39
248,Augsburg,Tobias Strobl,6.37
249,Augsburg,Raphael Framberger,6.29
250,Augsburg,Fredrik Jensen,6.29
251,Augsburg,Andi Zeqiri,6.29
252,Augsburg,Felix Uduokhai,6.27
253,Augsburg,Ricardo Pepi,6.22
254,Augsburg,Carlos Gruezo,6.22
255,Augsburg,Noah Sarenren Bazee,6.21
256,Augsburg,Jan Morávek,6.18
257,Augsburg,Sergio Córdova,6.16
258,Augsburg,Lasse Günther,6.08
259,Barcelona,Ousmane Dembélé,7.46
260,Barcelona,Antoine Griezmann,7.15
